card_name,ai_rating,pro_rating,description
Valley Mightcaller,4.7,3,"If you can drop this on one, it's going to get huge. Unlike the other Valley creatures though, it isn't good on a board that already has a bunch of creatures with the right types."
Wear Down,2,0.5,This isn't a format where you mainboard Naturalize.
"Alania, Divergent Storm",2.1,3.5,"Most of the time, it's worth giving your opponent a card for a copy of an instant, sorcery, or Otter -- that's because you get the copy for free and it's likely to be better than a random card from their deck. Still, it can definitely backfire sometimes, and the times where you're unable to trigger this consistently will be tough."
"Baylen, the Haymaker",3.6,3,"This is a powerful token payoff, even if it is hard to cast. You won't always get Baylen's abilities online, but you're going to do it often enough for it be worth the splash in Green-White decks."
Burrowguard Mentor,4,3,"This isn't very impressive on it's own, but it can be quite the threat on most boards."
"Camellia, the Seedmiser",4.3,4,"Buffing and making Squirrels with this is pretty darn easy in Black-Green, and it's got a great baseline too."
Cindering Cutthroat,2.3,2,"The ceiling here isn't the most impressive thing in the world, and the floor is pretty bad."
"Clement, the Worrywort",4.4,3.5,"Making your frogs tap for many means that you'll be able to recast the creatures you bounce with Clement's ability more often, and if you're getting some sweet ETB value, that's pretty strong."
Corpseberry Cultivator,2.3,2,"This card's value comes from growing even when something else forages, because foraging just for a single +1/+1 counter isn't great."
Dreamdew Entrancer,4.3,4.5,"This gives you a nice body while effectively removing a creature. And if that effect is underwhelming in a given situation, stunning your own thing is pretty intriguing. Especially if you have ways to blink or bounce the stunned creature."
"Finneas, Ace Archer",4.5,4,"Finneas is going to be able to buff lots of creatures in Green-White when he turns sideways, so giving him up to get all those buffs is worth it, especially if you draw a card."
Fireglass Mentor,2.7,3,This is a strong payoff for hitting your opponent -- something you're going to do in aggro decks pretty naturally.
"Gev, Scaled Scorch",4.3,4,"Because casting a Lizard pings your opponent before it enters the battlefield, this makes all your Lizards enter with a counter, which is pretty strong, and putting counters on non-lizards isn't a massive challenge either."
"Glarb, Calamity's Augur",4.2,4,"The big hurdle here is casting this, because once you do it gives you great card selection and card advantage while loading up your graveyard."
Head of the Homestead,3.6,3.5,"5-mana for a 3/2 and two 1/1s would be pretty good in any format, but this one has tons of payoffs for Rabbits and tokens and going wide more broadly, so this is going to punch above its weightclass."
"Helga, Skittish Seer",4,4,"Casting her is a bit of a challenge, but if you just get her triggered ability a single time it will have been worth it. And, because she can tap for mana, there's a chance you can just keep casting things as you draw them."
"Hugs, Grisly Guardian",4.5,4.5,"Even if you just pay 1 for X, you're getting a 5-mana 5/5 Trampler that effectively draws you a card, and in the late game he's likely to give you several cards."
The Infamous Cruelclaw,5,4,"If you can get in with this, discarding a card for a free spell in your opponent's deck is amazing, and because it's a three mana 3/3 Menace, you've got a decent shot at making that happen. Especially if you play it on 3. It does get less likely the longer the game goes, though."
Junkblade Bruiser,1.9,2.5,"A 5-mana 4/5 with Trample isn't great, but it's not a disaster either, and if you can buff this at instant speed it can produce some blowouts."
"Kastral, the Windcrested",4.2,5,"Even if you have 0 other birds this card's great, and if you're in Blue-White there's a good chance you're going to get this trigger the turn Kastral comes down."
Lilysplash Mentor,3.5,3,This has solid stats and is a good way to rebuy ETBs in the late game.
Lunar Convocation,4.2,1.5 // 3.5,"Your deck really has to be good at gaining and losing life for this to work out. While it can do the life loss part for you, not having to spend the mana for it is far better."
"Mabel, Heir to Cragflame",4.5,5,"Even without other Mice, Mabel delivers some nice value thanks to her Equipment token that can trigger valiant, but you're going to have other Mice she offers a buff to."
Mind Drill Assailant,1.4,2,"This'll be a 5/5 by the late game and can help you get threshold, but a 4-mana 5/5 this conditional isn't anything special."
Moonrise Cleric,3.1,2.5,"This is a nice enabler for Black/White decks, and the baseline is fine."
"Muerra, Trash Tactician",4,3.5,"The mana she gives you makes it easier for you to expend, and the payoffs are great -- but you still need to have the cards to get her going."
Plumecreed Mentor,2.9,3,"If you can put a counter somewhere when this enters it feels great, and there's potential for more counters after that."
Pond Prophet,2.8,3,"This is one of the best creatures to blink, and a two mana 1/1 that draws you a card on ETB is a nice card to begin with."
"Ral, Crackling Wit",5,5,"This'll often just spit out a creature token every turn, and that's more than enough to take over games. It's less give if you're behind of course, but the -3 is plenty powerful and raising Ral's loyalty is super easy thanks to the static ability."
Seedglaive Mentor,2.5,3,"A three mana 3/2 with Vigilance and Haste is a great starting point, and there are plenty of ways to trigger Valiant in this format."
Seedpod Squire,1.6,2.5,"A 4-mana 3/3 Flyer isn't as good as it used to be, but it's still a passable stat-line, and this will often enable another one of your creature's to attack when it attacks."
Starseer Mentor,3.7,3.5,"This stat-line is actually pretty great alongside Flying and Vigilance, and while the life change payoff isn't insane the first time, it's the kind of thing that can really snowball."
Stormcatch Mentor,2.9,2.5,"A two mana 1/1 with Prowess is pretty bad, and while Haste and a cost reduction effect are nice, this doesn't do quite enough to overcome the bad baseline to be a really exciting signpost uncommon."
Tempest Angler,1.3,2,"This has a bad baseline, and you really need two counters before it ever feels like it was worthwhile, and in the time it takes you to get there, you're in trouble."
Tidecaller Mentor,1.5,3.5,"Once you have threshold this is nuts, and when you don't it's not too bad to run out on turn three."
Veteran Guardmouse,2.2,3,This Valiant trigger makes the Guardmouse pretty impossible to block just because the threat of activation is always there.
Vinereap Mentor,3.9,4,This is a ton of value for only two mana. Two food tokens are pretty close to a full card of value in this format.
"Vren, the Relentless",4.6,4.5,"Vren's Ward makes it hard to kill before you generate at least one token with it. Turning every single trade into a losing proposition for your opponent is nice, and removal is great with Vren, too."
Wandertale Mentor,2.9,4,"This is a great way to accelerate your mana, and if you drop it on two and play a 4-drop on three, this'll get it's first counter, and it's likely to grow from there."
"Ygra, Eater of All",4.6,4,"Ygra can get huge, since it grows when any food goes to the graveyard and makes everything into a food. Still, the ceiling here is a massive vanilla creature, and that's not completely gamebreaking."
"Zoraline, Cosmos Caller",4.7,5,"You usually want to wait until you get to 5 mana so that you start out with a 2-for-1, and then Zoraline threatens to keep reanimating things and gaining life on subsequent turns too."
Barkform Harvester,1.6,1.5,"It's not hard to get enough creatures with the right type in this format, and this is pretty bad at hating on the graveyard, so there's not much of a reason to run this unless your draft went really wrong."
Bumbleflower's Sharepot,2.2,1,"Paying 2 mana for a Food is pretty awful, and paying 7 total mana to remove a nonland permanent isn't good either."
Fountainport Bell,2.3,2,"Fixing isn't at a high premium in this format, or this would be better. It is a decent way to fix, and can load your graveyard for Forage."
Heirloom Epic,1.8,1.5 // 3.0,"If you're really good at going wide (like in Green-White), this is a pretty sweet card advantage engine."
Patchwork Banner,4,2.5,"Lots of decks in this format have 10 creatures with the same type, so this feels like a straight up anthem at times."
Short Bow,2.4,2.5,This is a great way to repeatedly trigger Valiant and it offers a decent buff to begin with.
Starforged Sword,1.5,1.5,"The first equip being free is going to be worth a fish a decent chunk of the time, especially if you trigger valiant. It's super clunky after that though, and handing your opponent a chump blocker when you want to make a creature big is definitely a downside."
Tangle Tumbler,1.7,1.0 // 3.0,"You can't turn this into a creature without tapping two tokens, so this isn't worth running in many decks in the format, but it looks good in Green/White and maybe Black/Green."
Three Tree Mascot,1.8,2,"If you need fixing, this does an okay job of it while also providing you some creature type synergy."
Fabled Passage,3.9,3,This is good fixing that you'll run in any two-color deck too. Getting that land untapped from the mid game on is a big upgrade from Evolving Wilds.
Fountainport,4.2,3,"This land can provide tons of value in games that go long, so it's worth the hit to your mana."
Hidden Grotto,2.4,2,"Having some graveyard synergy to go with your fixing is nice sometimes, but not all decks will need this."
Lilypad Village,2.1,2.5,"Surveil 2 for one mana is a pretty nice ability to have on a land, even if you can't trigger it all the time."
Lupinflower Village,2.1,2.5,Cashing this in late to draw a card will feel pretty good.
Mudflat Village,2.4,2.5,Being able to turn your land into the best creature in your graveyard in the late game is nice utility.
Oakhollow Village,3.7,2.5,This works extra well with cards that make multiple bodies with these creature types.
Rockface Village,3,2.5,"This is a land that can trigger Valiant, and giving yoru stuff haste and a tiny buff is nice utility anyway."
Three Tree City,3.5,0,"You need four creatures with the same type in play for this to net you mana, and even in this format that's way too big of an ask. This just isn't for Limited."
Uncharted Haven,2.5,2.5,"If you need fixing, this does it, and it's even decent in two-color decks."
Island,-0,,
Swamp,-0,,
Mountain,-0,,
